feature_A,feature_B,pearson_correlation,spearman_correlation,feature_group_A,feature_group_B,proposed_representative,reason
humidity_pct_roll_median_3d,humidity_pct_roll_max_3d,0.9728,0.9618,meteorological,meteorological,humidity_pct_roll_max_3d,"High pairwise correlation (Pearson: 0.9728, Spearman: 0.9618)"
humidity_pct_roll_median_3d,humidity_pct_roll_min_3d,0.9745,0.9662,meteorological,meteorological,humidity_pct_roll_min_3d,"High pairwise correlation (Pearson: 0.9745, Spearman: 0.9662)"
humidity_pct_roll_std_3d,humidity_pct_roll_var_3d,0.9442,1.0,meteorological,meteorological,humidity_pct_roll_std_3d,"High pairwise correlation (Pearson: 0.9442, Spearman: 1.0000)"
humidity_pct_roll_mean_7d,humidity_pct_roll_median_7d,0.9902,0.9843,meteorological,meteorological,humidity_pct_roll_mean_7d,"High pairwise correlation (Pearson: 0.9902, Spearman: 0.9843)"
humidity_pct_roll_mean_7d,humidity_pct_roll_min_7d,0.946,0.952,meteorological,meteorological,humidity_pct_roll_min_7d,"High pairwise correlation (Pearson: 0.9460, Spearman: 0.9520)"
humidity_pct_roll_std_7d,humidity_pct_roll_var_7d,0.953,1.0,meteorological,meteorological,humidity_pct_roll_std_7d,"High pairwise correlation (Pearson: 0.9530, Spearman: 1.0000)"
humidity_pct_roll_mean_14d,humidity_pct_roll_median_14d,0.9883,0.9879,meteorological,meteorological,humidity_pct_roll_mean_14d,"High pairwise correlation (Pearson: 0.9883, Spearman: 0.9879)"
humidity_pct_roll_std_14d,humidity_pct_roll_var_14d,0.9695,1.0,meteorological,meteorological,humidity_pct_roll_std_14d,"High pairwise correlation (Pearson: 0.9695, Spearman: 1.0000)"
humidity_pct_roll_mean_30d,humidity_pct_roll_median_30d,0.9861,0.9792,meteorological,meteorological,humidity_pct_roll_mean_30d,"High pairwise correlation (Pearson: 0.9861, Spearman: 0.9792)"
humidity_pct_roll_std_30d,humidity_pct_roll_var_30d,0.9798,1.0,meteorological,meteorological,humidity_pct_roll_std_30d,"High pairwise correlation (Pearson: 0.9798, Spearman: 1.0000)"
wind_speed_kmh_roll_std_3d,wind_speed_kmh_roll_var_3d,0.914,1.0,wind_ventilation,wind_ventilation,wind_speed_kmh_roll_std_3d,"High pairwise correlation (Pearson: 0.9140, Spearman: 1.0000)"
wind_speed_kmh_roll_std_7d,wind_speed_kmh_roll_var_7d,0.9579,1.0,wind_ventilation,wind_ventilation,wind_speed_kmh_roll_std_7d,"High pairwise correlation (Pearson: 0.9579, Spearman: 1.0000)"
wind_speed_kmh_roll_mean_14d,wind_speed_kmh_roll_median_14d,0.9713,0.9642,wind_ventilation,wind_ventilation,wind_speed_kmh_roll_mean_14d,"High pairwise correlation (Pearson: 0.9713, Spearman: 0.9642)"
wind_speed_kmh_roll_std_14d,wind_speed_kmh_roll_var_14d,0.9714,1.0,wind_ventilation,wind_ventilation,wind_speed_kmh_roll_std_14d,"High pairwise correlation (Pearson: 0.9714, Spearman: 1.0000)"
wind_speed_kmh_roll_mean_30d,wind_speed_kmh_roll_median_30d,0.9811,0.9824,wind_ventilation,wind_ventilation,wind_speed_kmh_roll_mean_30d,"High pairwise correlation (Pearson: 0.9811, Spearman: 0.9824)"
wind_speed_kmh_roll_std_30d,wind_speed_kmh_roll_var_30d,0.9699,1.0,wind_ventilation,wind_ventilation,wind_speed_kmh_roll_std_30d,"High pairwise correlation (Pearson: 0.9699, Spearman: 1.0000)"
